index	level before	level after	step	dwell before	dwell after	predicted error	measured error
268.0	6.729086416077681	8.56851685757023	1.8394304414925493	9.0	11.0	0.5999900582631115	0.5988122378711613
279.0	8.56851685757023	6.3615056059976665	-2.207011251572564	11.0	6.0	0.6774841616366977	0.6808204056033672
285.0	6.3615056059976665	7.644850125713386	1.2833445197157198	6.0	14.0	0.6513613850588208	0.7796241355117195
299.0	7.644850125713386	11.705074893491986	4.0602247677786	14.0	10.0	0.552698462853785	0.5674618054765416
309.0	11.705074893491986	13.09843512547463	1.3933602319826441	10.0	10.0	0.5969825703606648	0.5772275747896927
319.0	13.09843512547463	10.44329534520901	-2.6551397802656194	10.0	9.0	0.6133412860432824	0.4961785933778454
328.0	10.44329534520901	12.640148558579968	2.1968532133709573	9.0	11.0	0.5999900582631115	0.41216458687159924
339.0	12.640148558579968	11.27718205582311	-1.3629665027568585	11.0	10.0	0.5832569983838775	0.5394691087027523
349.0	11.27718205582311	13.313882317859592	2.036700262036483	10.0	10.0	0.5969825703606648	0.732299384072962
359.0	13.313882317859592	10.791577141075537	-2.522305176784055	10.0	10.0	0.5969825703606648	0.7458033352785457
369.0	10.791577141075537	12.894144457608586	2.102567316533049	10.0	10.0	0.5969825703606648	0.5896747718471202
379.0	12.894144457608586	11.019710535872864	-1.8744339217357222	10.0	10.0	0.5969825703606648	0.34087776012472415
389.0	11.019710535872864	12.764667014857256	1.7449564789843919	10.0	10.0	0.5969825703606648	0.3620525891635429
399.0	12.764667014857256	14.895571600301754	2.1309045854444975	10.0	11.0	0.5832569983838775	0.6032555116655441
410.0	14.895571600301754	18.38768870609788	3.492117105796126	11.0	2.0	1.0261408796030995	0.5281762318441957
412.0	18.38768870609788	16.862651249414018	-1.5250374566838616	2.0	7.0	1.0702959710535738	0.6226682421753796
419.0	16.862651249414018	14.691047925646725	-2.171603323767293	7.0	7.0	0.7135306473690493	0.7850035600633455
426.0	14.691047925646725	16.421849467227364	1.7308015415806395	7.0	13.0	0.6258077762963606	0.6219351238030488
439.0	16.421849467227364	14.906238242657745	-1.5156112245696196	13.0	10.0	0.5614859527742093	0.47193633667413804
449.0	14.906238242657745	16.445780671076516	1.5395424284187715	10.0	10.0	0.5969825703606648	0.475507291840946
459.0	16.445780671076516	14.678194258130697	-1.7675864129458194	10.0	11.0	0.5832569983838775	0.39590370541239056
470.0	14.678194258130697	17.03221735599151	2.3540230978608125	11.0	9.0	0.5999900582631115	0.4668988623066111
479.0	17.03221735599151	15.210859253341244	-1.8213581026502652	9.0	10.0	0.6133412860432824	0.40953158593717615
489.0	15.210859253341244	17.050150523452587	1.8392912701113424	10.0	11.0	0.5832569983838775	0.4955240083424458
500.0	17.050150523452587	18.53735466082338	1.4872041373707923	11.0	2.0	1.0261408796030995	1.6244130997312802
502.0	18.53735466082338	18.25664588455489	-0.2807087762684901	2.0	3.0	1.2185855689323213	0.4351718032476222
505.0	18.25664588455489	19.409443167287844	1.152797282732955	3.0	4.0	1.0195418344369573	0.7092670639513249
509.0	19.409443167287844	20.93787115899306	1.5284279917052181	4.0	8.0	0.8174520505598777	0.781157372613353
517.0	20.93787115899306	19.05934010550035	-1.8785310534927113	8.0	12.0	0.6092927844661606	0.4247037403124966
529.0	19.05934010550035	20.869674222407312	1.8103341169069616	12.0	31.0	0.4538469399472323	0.38983671126032426
560.0	20.869674222407312	18.065245732038832	-2.8044284903684797	31.0	2.0	0.9738852290206076	1.365396699810465
562.0	18.065245732038832	18.46332567331885	0.39807994128001667	2.0	7.0	1.0702959710535738	0.35185584746197995
569.0	18.46332567331885	21.29528063885575	2.8319549655369016	7.0	9.0	0.6727231457854425	0.5555644957064366
578.0	21.29528063885575	18.42557360609958	-2.869707032756171	9.0	11.0	0.5999900582631115	0.4991462294163734
589.0	18.42557360609958	20.768981192878904	2.3434075867793247	11.0	10.0	0.5832569983838775	0.49957841696431393
599.0	20.768981192878904	22.564954974366625	1.7959737814877208	10.0	10.0	0.5969825703606648	0.5533484646817746
609.0	22.564954974366625	24.318770578668527	1.7538156043019022	10.0	4.0	0.7897337091072191	0.5638164470952292
613.0	24.318770578668527	26.236116841222913	1.9173462625543856	4.0	5.0	0.8954738555409972	0.709300664728663
618.0	26.236116841222913	24.540665799743365	-1.6954510414795472	5.0	4.0	0.8954738555409972	0.8371532791705877
622.0	24.540665799743365	22.54333941655471	-1.997326383188657	4.0	7.0	0.8366888483842007	0.7009740739634557
629.0	22.54333941655471	25.036906032060376	2.4935666155056673	7.0	10.0	0.6578427525059924	0.5701820797762929
639.0	25.036906032060376	22.002661524425353	-3.034244507635023	10.0	6.0	0.6893360953984891	0.6065407435662403
645.0	22.002661524425353	24.12649370255597	2.123832178130616	6.0	4.0	0.8616701192481113	0.8665271273406251
649.0	24.12649370255597	25.130051003495495	1.0035573009395264	4.0	10.0	0.7897337091072191	0.5870322302318738
659.0	25.130051003495495	23.520927087537153	-1.6091239159583424	10.0	4.0	0.7897337091072191	0.542090061989106
663.0	23.520927087537153	21.914524280365242	-1.6064028071719108	4.0	5.0	0.8954738555409972	0.3942475290531914
668.0	21.914524280365242	25.221827496750635	3.3073032163853924	5.0	10.0	0.7311513413593926	0.5674906625283449
678.0	25.221827496750635	23.827543615319495	-1.3942838814311393	10.0	3.0	0.8787345504651883	0.6160911400140618
681.0	23.827543615319495	22.95381409658198	-0.873729518737516	3.0	9.0	0.8899290724726652	0.5853371984584256
690.0	22.95381409658198	25.942764268859843	2.988950172277864	9.0	17.0	0.5502849209170901	0.5309949652275953
707.0	25.942764268859843	28.952166034393667	3.0094017655338234	17.0	12.0	0.5033042167136338	0.45397978504795394
719.0	28.952166034393667	27.657521065534056	-1.2946449688596111	12.0	10.0	0.571567295721356	0.5408288794059581
729.0	27.657521065534056	28.973327120014087	1.3158060544800314	10.0	10.0	0.5969825703606648	0.4277984177277169
739.0	28.973327120014087	27.728532896309346	-1.2447942237047407	10.0	2.0	1.0340041430977336	0.5600969505359099
741.0	27.728532896309346	26.608416708986052	-1.120116187323294	2.0	9.0	1.0435343366627088	0.26556632180411793
750.0	26.608416708986052	29.473588204777368	2.8651714957913157	9.0	7.0	0.6727231457854425	0.5127243889555703
757.0	29.473588204777368	27.50163512838244	-1.9719530763949287	7.0	12.0	0.6348685464318248	0.5349694770637774
769.0	27.50163512838244	28.940833801623423	1.439198673240984	12.0	10.0	0.571567295721356	0.5377074655242448
779.0	28.940833801623423	27.196857671990735	-1.7439761296326886	10.0	8.0	0.6331956356283021	0.6175339675756537
787.0	27.196857671990735	27.90823861492008	0.7113809429293454	8.0	3.0	0.9037272452712487	0.40210654342930485
790.0	27.90823861492008	28.83122186971594	0.9229832547958594	3.0	10.0	0.8787345504651883	0.31452768050104
800.0	28.83122186971594	31.436731715004363	2.6055098452884238	10.0	9.0	0.6133412860432824	0.505004654468423
809.0	31.436731715004363	32.79591100225908	1.3591792872547188	9.0	9.0	0.629274881920476	0.6038278573197687
818.0	32.79591100225908	31.187600649887987	-1.6083103523710953	9.0	11.0	0.5999900582631115	0.5655566555173321
829.0	31.187600649887987	32.392248788592255	1.2046481387042682	11.0	3.0	0.8694681978258899	0.43331137328929653
832.0	32.392248788592255	33.53019665673421	1.137947868141957	3.0	7.0	0.9211641047563082	0.38465309249056784
839.0	33.53019665673421	31.606655754884518	-1.9235409018496945	7.0	3.0	0.9211641047563082	0.35577137515147356
842.0	31.606655754884518	30.28857000175804	-1.3180857531264785	3.0	7.0	0.9211641047563082	0.411108005551319
849.0	30.28857000175804	33.195209058390446	2.9066390566324074	7.0	10.0	0.6578427525059924	0.5116513506170839
859.0	33.195209058390446	31.641807922725775	-1.5534011356646715	10.0	13.0	0.5614859527742093	0.5065503837532519
872.0	31.641807922725775	33.61188311203976	1.970075189313988	13.0	7.0	0.6258077762963606	0.5079948908199423
879.0	33.61188311203976	31.187405800360136	-2.4244773116796274	7.0	10.0	0.6578427525059924	0.40624080167793825
889.0	31.187405800360136	33.12122430031136	1.9338184999512258	10.0	10.0	0.5969825703606648	0.6053267120132482
899.0	33.12122430031136	34.23455032718719	1.113326026875832	10.0	2.0	1.0340041430977336	0.7419639316821659
901.0	34.23455032718719	35.27299179962129	1.0384414724340942	2.0	7.0	1.0702959710535738	0.8766782854177505
908.0	35.27299179962129	37.23429770120692	1.9613059015856322	7.0	11.0	0.6454127546570525	0.9935363647438401
919.0	37.23429770120692	34.78507568723431	-2.4492220139726086	11.0	10.0	0.5832569983838775	0.5771298086261423
