Time,Data,FinalFit
1,0.51875,0.465465238095238
2,0.53165,0.465465238095238
3,0.46812,0.465465238095238
4,0.39721,0.465465238095238
5,0.44537,0.465465238095238
6,0.41455,0.465465238095238
7,0.52106,0.465465238095238
8,0.47977,0.465465238095238
9,0.4682,0.465465238095238
10,0.52371,0.465465238095238
11,0.52991,0.465465238095238
12,0.39851,0.465465238095238
13,0.45222,0.465465238095238
14,0.49054,0.465465238095238
15,0.40584,0.465465238095238
16,0.43935,0.465465238095238
17,0.51066,0.465465238095238
18,0.37467,0.465465238095238
19,0.43597,0.465465238095238
20,0.36653,0.465465238095238
21,0.38643,0.465465238095238
22,0.42404,0.465465238095238
23,0.36293,0.465465238095238
24,0.46443,0.465465238095238
25,0.48792,0.465465238095238
26,0.44206,0.465465238095238
27,0.49838,0.465465238095238
28,0.38709,0.465465238095238
29,0.42287,0.465465238095238
30,0.53343,0.465465238095238
31,0.50702,0.465465238095238
32,0.41179,0.465465238095238
33,0.45691,0.465465238095238
34,0.45668,0.465465238095238
35,0.55615,0.465465238095238
36,0.4645,0.465465238095238
37,0.44282,0.465465238095238
38,0.50545,0.465465238095238
39,0.52277,0.465465238095238
40,0.48408,0.465465238095238
41,0.52521,0.465465238095238
42,0.47868,0.465465238095238
43,0.46207,0.465465238095238
44,0.41025,0.465465238095238
45,0.46677,0.465465238095238
46,0.50096,0.465465238095238
47,0.3979,0.465465238095238
48,0.43621,0.465465238095238
49,0.46436,0.465465238095238
50,0.44348,0.465465238095238
51,0.49935,0.465465238095238
52,0.43474,0.465465238095238
53,0.46258,0.465465238095238
54,0.44569,0.465465238095238
55,0.52489,0.465465238095238
56,0.40256,0.465465238095238
57,0.45472,0.465465238095238
58,0.56609,0.465465238095238
59,0.54647,0.465465238095238
60,0.49501,0.465465238095238
61,0.53568,0.465465238095238
62,0.4882,0.465465238095238
63,0.4921,0.465465238095238
64,0.63471,0.584001764705882
65,0.72402,0.584001764705882
66,0.4621,0.584001764705882
67,0.55153,0.584001764705882
68,0.57523,0.584001764705882
69,0.6025,0.584001764705882
70,0.67472,0.584001764705882
71,0.56237,0.584001764705882
72,0.66446,0.584001764705882
73,0.63022,0.584001764705882
74,0.58988,0.584001764705882
75,0.52817,0.584001764705882
76,0.55249,0.584001764705882
77,0.6626,0.584001764705882
78,0.48173,0.584001764705882
79,0.57443,0.584001764705882
80,0.45687,0.584001764705882
81,1.1122,1.10331428571429
82,1.0915,1.10331428571429
83,1.0907,1.10331428571429
84,1.0587,1.10331428571429
85,1.1009,1.10331428571429
86,1.1003,1.10331428571429
87,1.1689,1.10331428571429
88,0.51499,0.48746338028169
89,0.4631,0.48746338028169
90,0.484,0.48746338028169
91,0.48323,0.48746338028169
92,0.48083,0.48746338028169
93,0.46731,0.48746338028169
94,0.49903,0.48746338028169
95,0.50868,0.48746338028169
96,0.45123,0.48746338028169
97,0.49523,0.48746338028169
98,0.46444,0.48746338028169
99,0.52073,0.48746338028169
100,0.48221,0.48746338028169
101,0.44003,0.48746338028169
102,0.51746,0.48746338028169
103,0.46871,0.48746338028169
104,0.48648,0.48746338028169
105,0.47887,0.48746338028169
106,0.49227,0.48746338028169
