IndexStep,TimeStep,LevelBefore,LevelAfter,StepSize,DwellTimeStepBefore,DwellTimeStepAfter,StepError
1718,1718,0.523074081632653,1.0925,0.569425918367347,98,2,0.0534907290651909
1720,1720,1.0925,0.306671428571429,-0.785828571428571,2,7,0.0654742621083999
1727,1727,0.306671428571429,0.464170833333333,0.157499404761905,7,48,0.0450359737297422
1775,1775,0.464170833333333,0.698252857142857,0.234082023809524,48,28,0.0274757111744241
1803,1803,0.698252857142857,0.450365510204082,-0.247887346938775,28,49,0.024237165597564
1852,1852,0.450365510204082,0.659267777777778,0.208902267573696,49,18,0.0365705864801784
1870,1870,0.659267777777778,0.434713188976378,-0.2245545888014,18,254,0.0349259454108979
2124,2124,0.434713188976378,0.692355454545455,0.257642265569077,254,11,0.0373960319488934
2135,2135,0.692355454545455,0.391105051020408,-0.301250403525046,11,196,0.0376423258051733
2331,2331,0.391105051020408,0.346763333333333,-0.0443417176870748,196,12,0.0289653112784758
2343,2343,0.346763333333333,0.44604,0.0992766666666666,12,5,0.0618995874041829
2348,2348,0.44604,1.05723333333333,0.611193333333333,5,3,0.0554551610262241
2351,2351,1.05723333333333,0.676754938271605,-0.380478395061728,3,81,0.0109944726018586
2432,2432,0.676754938271605,0.385297222222222,-0.291457716049383,81,36,0.020416754377034
2468,2468,0.385297222222222,0.483593157894737,0.0982959356725145,36,19,0.0356142885452075
2487,2487,0.483593157894737,0.610994615384616,0.127401457489879,19,13,0.0650789614190584
2500,2500,0.610994615384616,0.470825054945055,-0.140169560439561,13,91,0.0595235369936348
2591,2591,0.470825054945055,0.563075,0.0922499450549453,91,4,0.0635251042986449
2595,2595,0.563075,0.41677,-0.146305,4,3,0.09961972445254
2598,2598,0.41677,0.744223414634146,0.327453414634146,3,41,0.0799384075182738
2639,2639,0.744223414634146,0.49695625,-0.247267164634146,41,24,0.0245953060043026
2663,2663,0.49695625,0.731339666666667,0.234383416666667,24,30,0.0254147303914945
2693,2693,0.731339666666667,0.487660925925926,-0.243678740740741,30,54,0.021349372536558
2747,2747,0.487660925925926,0.744342727272727,0.256681801346801,54,22,0.0240549583332803
2769,2769,0.744342727272727,0.48113,-0.263212727272727,22,13,0.0313114767830713
2782,2782,0.48113,0.72845125,0.24732125,13,8,0.051268360553033
2790,2790,0.72845125,0.539778,-0.18867325,8,10,0.0555438025519728
2800,2800,0.539778,0.495554347826087,-0.044223652173913,10,92,0.0338844999413509
2892,2892,0.495554347826087,0.7144425,0.218888152173913,92,4,0.0928991172948608
2896,2896,0.7144425,0.550960153846154,-0.163482346153846,4,65,0.0934664822702732
2961,2961,0.550960153846154,0.457265,-0.0936951538461539,65,2,0.0461823665805391
2963,2963,0.457265,1.055267,0.598002,2,10,0.0689388165001724
2973,2973,1.055267,0.595661071428571,-0.459605928571429,10,28,0.0550960810517273
3001,3001,0.595661071428571,0.5428408,-0.052820271428571,28,150,0.0161407948032892
3151,3151,0.5428408,0.451970552147239,-0.0908702478527614,150,163,0.0124655598676299
3314,3314,0.451970552147239,0.387895357142857,-0.0640751950043817,163,28,0.0215491585130584
3342,3342,0.387895357142857,0.737208091603053,0.349312734460196,28,131,0.0216535751034393
3473,3473,0.737208091603053,0.644803333333333,-0.0924047582697198,131,3,0.077414549963144
3476,3476,0.644803333333333,0.39712023255814,-0.247683100775194,3,43,0.0779785170257103
3519,3519,0.39712023255814,0.73777,0.34064976744186,43,10,0.0341626739419257
3529,3529,0.73777,0.398932608695652,-0.338837391304348,10,23,0.0380040496100669
